match_id,team,possession_share_proxy,passes_attempted,passes_completed,pass_accuracy_pct,shots_total,shots_on_target,shots_inside_box,shots_outside_box,shots_blocked,goals,fouls_committed,corners,offsides,gk_saves,peligrosidad_proxy
762804,Belgrano (Córdoba),0.396,387,284,73.4,12,5,,,2,0,6,1,1,6,2.06
762816,Unión (Santa Fe),0.58,494,418,84.6,17,7,,,4,4,13,3,2,1,2.9
762816,Gimnasia (Mendoza),0.42,353,281,79.6,4,1,,,1,0,9,1,0,4,0.54
762806,Banfield,0.569,322,225,69.9,14,4,,,3,2,7,4,5,3,2.0
762806,Estudiantes de Río Cuarto,0.431,248,150,60.5,15,4,,,3,1,13,2,0,2,2.08
762812,Independiente Rivadavia,0.41,278,190,68.3,19,8,,,3,2,10,4,3,6,3.28
762812,Sarmiento (Junín),0.59,401,309,77.1,16,7,,,3,1,10,1,1,6,2.82
762813,Instituto (Córdoba),0.497,360,273,75.8,11,4,,,0,2,14,3,0,5,1.76
762813,Lanús,0.503,379,304,80.2,11,7,,,2,2,15,3,2,2,2.42
762822,Central Córdoba (Santiago del Estero),0.493,404,328,81.2,9,3,,,1,1,11,3,1,2,1.38
762822,Unión (Santa Fe),0.507,424,341,80.4,16,2,,,9,0,16,2,2,2,1.72
762819,Aldosivi,0.385,298,213,71.5,15,4,,,4,1,20,7,1,3,2.08
762819,Rosario Central,0.615,500,429,85.8,10,4,,,3,1,10,4,0,3,1.68
762830,Racing Club,0.489,277,194,70.0,14,3,,,5,2,16,4,2,4,1.78
762830,Argentinos Juniors,0.511,286,216,75.5,12,5,,,2,1,14,7,3,1,2.06
762831,River Plate,0.707,544,457,84.0,17,5,,,7,1,9,7,1,2,2.46
762831,Tigre,0.293,232,142,61.2,11,6,,,0,4,13,2,0,4,2.2
762821,Belgrano (Córdoba),0.633,517,447,86.5,16,7,,,5,1,16,11,0,2,2.82
762821,Banfield,0.367,296,234,79.1,6,3,,,2,0,9,1,2,6,1.14
762828,Newell's Old Boys,0.581,282,206,73.0,23,7,,,5,2,18,7,1,0,3.38
762828,Defensa y Justicia,0.419,217,130,59.9,4,3,,,0,3,14,1,1,6,0.98
762829,Platense,0.511,318,206,64.8,5,1,,,1,0,12,4,3,5,0.62
762829,Independiente,0.489,305,207,67.9,10,5,,,2,1,9,1,5,2,1.9
762832,Sarmiento (Junín),0.496,300,207,69.0,12,6,,,1,2,18,4,0,2,2.28
762832,Atlético Tucumán,0.504,299,198,66.2,5,3,,,1,1,14,4,1,4,1.06
762826,Huracán,0.479,281,174,61.9,8,3,,,1,1,17,1,1,0,1.3
762826,San Lorenzo,0.521,316,202,63.9,5,0,,,1,0,22,2,2,2,0.4
762825,Gimnasia (Mendoza),0.457,337,253,75.1,12,5,,,1,1,12,4,2,5,2.06
762825,Instituto (Córdoba),0.543,404,295,73.0,12,5,,,2,0,8,7,3,3,2.06
762833,Vélez Sarsfield,0.502,470,394,83.8,15,4,,,1,2,11,3,1,2,2.08
762833,Boca Juniors,0.498,465,376,80.9,9,3,,,1,1,10,7,2,2,1.38
