match_id,team,jersey_number,player_name,passes_attempted,passes_completed,pass_completion_pct,switches_of_play,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,attempts_at_goal,goals,total_offers,offers_in_front,offers_in_between,offers_out_to_in,offers_in_to_out,offers_in_behind,offers_no_movement,offers_received,tackles_made,tackles_won,blocks,interceptions,pressing_direct,pressing_indirect,duels_won_aerial,duels_won_physical,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_into_pressing,possession_regains,possession_interrupted,source,source_url,retrieved_at
20260019,Algeria,17,Rafik BELGHALI,38,34,89.0,0,0,0,5,5,100.0,0,0,0,0,0,26,4,3,0,0,13,6,8,3,2,2,0,5,11,2,0,2,0,4,14,4,4,0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Algeria,23,Luca ZIDANE,39,39,100.0,0,0,0,5,5,100.0,0,0,0,0,0,5,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,20,Alexis MAC ALLISTER,65,62,95.0,1,0,0,11,10,91.0,0,0,0,2,0,31,20,8,0,0,0,3,19,3,1,2,2,8,22,0,0,1,1,5,29,9,4,2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Algeria,7,Riyad MAHREZ,20,17,85.0,1,1,0,3,3,100.0,1,1,0,1,0,22,5,1,1,0,9,6,7,1,0,1,0,2,14,0,0,0,0,4,6,4,1,0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,23,Emiliano MARTINEZ,41,31,76.0,0,0,0,16,8,50.0,0,0,0,0,0,7,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Algeria,10,Fares CHAIBI,48,44,92.0,0,4,0,14,12,86.0,7,3,4,3,0,60,8,15,0,3,13,21,25,4,1,1,0,3,43,0,2,2,1,2,45,27,2,2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,26,Nahuel MOLINA,29,19,66.0,0,0,0,10,3,30.0,1,1,0,0,0,14,1,1,1,0,2,9,5,2,1,2,2,5,6,1,0,1,1,4,22,9,5,0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Algeria,19,Nabil BENTALEB,56,51,91.0,0,0,0,11,10,91.0,0,0,0,0,0,23,16,6,0,0,0,1,8,3,2,3,2,3,9,0,0,1,0,6,17,3,6,1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Algeria,22,Ibrahim MAZA,47,39,83.0,1,0,0,7,5,71.0,7,6,1,1,0,49,21,15,1,5,4,3,21,2,0,1,0,2,43,1,0,1,0,3,33,17,1,1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,4,Gonzalo MONTIEL,22,20,91.0,0,0,0,4,3,75.0,0,0,0,0,0,9,2,0,0,0,3,4,5,4,2,0,2,3,0,0,0,0,2,1,7,1,4,2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,10,Lionel MESSI,40,30,75.0,1,2,1,15,12,80.0,4,4,0,6,3,32,5,11,1,0,9,6,16,2,1,0,0,4,19,0,0,0,1,2,12,10,1,1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
20260019,Argentina,7,Rodrigo DE PAUL,54,49,91.0,0,1,0,9,6,67.0,3,2,1,0,0,77,12,21,3,6,7,28,34,5,3,2,0,6,24,0,0,0,2,8,42,16,4,1,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T00:00:00+00:00
