match_id,team,jersey_number,player_name,total_distance_m,zone1_m,zone2_m,zone3_m,zone4_m,zone5_m,high_speed_runs_count,sprint_count,top_speed_kmh,source,source_url,retrieved_at
20260019,Algeria,2,Aissa MANDI,9089.2,4384.0,3548.1,784.5,241.9,130.7,83.0,18.0,29.5,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,9,Amine GOUIRI,7114.7,2778.9,2983.4,944.9,386.6,20.9,96.0,31.0,26.2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,10,Fares CHAIBI,10722.1,3878.2,4755.1,1438.2,462.3,188.2,124.0,42.0,32.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,11,Anis HADJ MOUSSA,7147.7,2888.5,2791.2,1034.6,384.1,49.3,97.0,30.0,28.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,14,Hicham BOUDAOUI,8257.3,2162.6,4176.3,1355.8,468.5,94.2,112.0,33.0,29.6,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,15,Rayan AIT-NOURI,9966.6,4034.5,3782.9,1358.5,570.0,220.8,104.0,52.0,29.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,17,Rafik BELGHALI,10148.9,3829.6,3975.7,1401.8,687.6,254.3,128.0,47.0,33.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,19,Nabil BENTALEB,9393.7,3218.9,4341.1,1342.1,400.5,91.1,120.0,25.0,30.9,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,21,Ramy BENSEBAINI,8858.2,3986.2,3732.9,769.5,307.5,62.1,77.0,28.0,29.8,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,22,Ibrahim MAZA,9760.5,3220.9,4617.6,1477.2,378.9,65.8,126.0,35.0,28.4,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,6,Ramiz ZERROUKI,1955.0,495.6,1087.5,316.9,52.0,3.0,24.0,5.0,25.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,7,Riyad MAHREZ,3481.9,1300.4,1382.6,454.3,228.4,116.1,42.0,14.0,30.3,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,8,Houssem AOUAR,3820.9,1036.4,1994.5,591.8,170.2,28.0,50.0,16.0,31.5,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260019,Algeria,18,Mohamed AMOURA,3799.5,920.8,1813.4,668.7,298.1,98.5,57.0,24.0,29.0,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M19-ARG-V-ALG.pdf,2026-07-08T13:05:54.441218+00:00
20260043,Argentina,23,Emiliano MARTINEZ,4554.1,3801.0,664.3,87.6,1.2,0.0,7.0,0.0,20.2,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,6,Lisandro MARTINEZ,8625.1,4651.6,3105.6,664.9,154.6,48.5,63.0,17.0,29.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,7,Rodrigo DE PAUL,8180.6,3667.8,2981.8,936.4,430.0,164.6,84.0,37.0,31.8,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
20260043,Argentina,10,Lionel MESSI,7904.8,4975.3,1545.3,804.9,484.5,94.8,75.0,31.0,29.7,fifa_training_centre_pmsr_pdf,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M43-ARG-V-AUT.pdf,2026-07-08T13:12:07.567790+00:00
