match_id,team,player_name,minute,minute_stoppage,minute_display,own_goal,penalty,source,source_url,retrieved_at
20260007,Brazil,Vinícius Júnior,32,,32,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260007,Morocco,Ismael Saibari,21,,21,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260005,Scotland,John McGinn,28,,28,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260030,Morocco,Ismael Saibari,2,,2,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260029,Brazil,Matheus Cunha,23,,23,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260029,Brazil,Matheus Cunha,36,,36,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260029,Brazil,Vinícius Júnior,45,3,45+3,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260049,Brazil,Vinícius Júnior,7,,7,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260049,Brazil,Vinícius Júnior,45,3,45+3,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260049,Brazil,Matheus Cunha,60,,60,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Morocco,Achraf Hakimi,39,,39,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Morocco,Ismael Saibari,45,1,45+1,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Morocco,Soufiane Rahimi,78,,78,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Morocco,Gessime Yassine,89,,89,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Haiti,Yassine Bounou,10,,10,True,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260050,Haiti,Wilson Isidor,43,,43,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260004,USA,Damian Bobadilla,7,,7,True,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260004,USA,Folarin Balogun,31,,31,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260004,USA,Folarin Balogun,45,5,45+5,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260004,USA,Giovanni Reyna,90,8,90+8,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260004,Paraguay,Mauricio,73,,73,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260006,Australia,Nestory Irankunda,27,,27,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
20260006,Australia,Connor Metcalfe,75,,75,False,False,openfootball,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-07-17T01:49:01.431494+00:00
