team,player_name,birth_date,age_years,market_value_eur,position,club,source,retrieved_at
Spain,Pedri,,,150000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Fabián Ruiz,,,30000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Gavi,,,30000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Mikel Merino,,,25000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Dani Olmo,,,60000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Álex Baena,,,40000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Nico Williams,,,40000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Víctor Muñoz,,,30000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Lamine Yamal,,,200000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Yéremy Pino,,,30000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Ferran Torres,,,50000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Mikel Oyarzabal,,,25000000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Spain,Borja Iglesias,,,2800000.0,,,transfermarkt,2026-07-14T01:28:48.505742+00:00
Argentina,Emiliano Martínez,,,12000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Gerónimo Rulli,,,6000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Juan Musso,,,3000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Cristian Romero,,,45000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Lisandro Martínez,,,40000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Marcos Senesi,,,25000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Facundo Medina,,,18000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Nicolás Otamendi,,,1000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Nicolás Tagliafico,,,4000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Nahuel Molina,,,15000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Gonzalo Montiel,,,4500000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Leandro Paredes,,,5000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Enzo Fernández,,,90000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Alexis Mac Allister,,,70000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Valentín Barco,,,40000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Exequiel Palacios,,,25000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Rodrigo De Paul,,,14000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Nico Paz,,,80000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Giovani Lo Celso,,,8000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Nico González,,,22000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Thiago Almada,,,15000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Giuliano Simeone,,,40000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Lionel Messi,,,15000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Julián Alvarez,,,100000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,Lautaro Martínez,,,85000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Argentina,José Manuel López,,,25000000.0,,,transfermarkt,2026-07-14T01:28:55.758861+00:00
Portugal,Diogo Costa,,,40000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Rui Silva,,,7000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,José Sá,,,3500000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Rúben Dias,,,55000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Gonçalo Inácio,,,40000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Tomás Araújo,,,30000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Renato Veiga,,,25000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Nuno Mendes,,,80000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Matheus Nunes,,,50000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Diogo Dalot,,,30000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,João Cancelo,,,8000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Nélson Semedo,,,6000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Vitinha,,,140000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Rúben Neves,,,25000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Samú Costa,,,15000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,João Neves,,,140000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Francisco Trincão,,,40000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Bruno Fernandes,,,35000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Bernardo Silva,,,22000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Rafael Leão,,,50000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Gonçalo Guedes,,,6000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
Portugal,Pedro Neto,,,60000000.0,,,transfermarkt,2026-07-14T01:29:02.132083+00:00
